l,k,z,gcd
"[1, -1]","[4, 2]","[1, 4, 5, -11, -19, 20]",1
"[1, -2]","[-3, 0]","[1, -3, -11, 14, 21, -22]",1
"[-3, -4]","[2, 5]","[7, -10, -11, 15, 21, -22]",1
"[-2, -1]","[1, 3]","[1, -3, -7, 10, 14, -15]",1
"[-2, -1]","[-1, -3]","[2, 3, 6, -13, -17, 19]",1
"[2, -1]","[2, 1]","[4, -5, -11, 14, 14, -16]",1
"[-2, -1]","[-2, 1]","[16, -19, -20, 26, 26, -29]",1
"[-3, -1]","[-4, -5]","[3, 4, 6, -14, -28, 29]",1
"[-1, 1]","[-2, 3]","[3, 4, 6, -16, -19, 22]",1
"[-1, 1]","[-2, 0]","[1, -2, -3, 5, 5, -6]",1
"[-2, -1]","[-5, -7]","[1, 2, 5, -10, -11, 13]",1
"[1, -1]","[4, 0]","[3, -5, -12, 17, 17, -20]",1
"[-3, -2]","[4, 5]","[3, -4, -13, 15, 19, -20]",1
"[-1, -2]","[-1, 2]","[1, 1, 1, -4, -4, 5]",1
"[-1, -2]","[-1, 4]","[2, -7, -7, 13, 22, -23]",1
"[1, -2]","[-3, 2]","[7, -9, -12, 15, 20, -21]",1
"[-3, -2]","[2, 1]","[2, -3, -15, 17, 22, -23]",1
"[1, 2]","[3, -2]","[1, 3, 8, -13, -23, 24]",1
"[-1, -4]","[-1, 2]","[10, -13, -13, 17, 22, -23]",1
"[2, 1]","[6, 9]","[2, 4, 6, -15, -17, 20]",1
"[-3, 2]","[1, -2]","[4, -7, -12, 17, 21, -23]",1
"[-1, 1]","[4, -3]","[2, -3, -8, 10, 12, -13]",1
"[1, -1]","[-2, -3]","[1, -2, -10, 12, 15, -16]",1
"[2, 1]","[-4, -3]","[4, -9, -10, 18, 20, -23]",1
"[-2, 1]","[4, 3]","[2, 3, 10, -19, -20, 24]",1
"[2, 1]","[-4, -5]","[2, -4, -5, 8, 10, -11]",1
"[3, 1]","[-4, -5]","[2, 5, 10, -21, -24, 28]",1
"[3, 1]","[-2, -1]","[4, -6, -11, 14, 20, -21]",1
"[-3, 1]","[1, -1]","[3, 5, 7, -19, -21, 25]",2
"[-3, -2]","[4, 2]","[5, -11, -12, 21, 25, -28]",2
"[3, 5]","[-1, -5]","[1, 5, 7, -15, -21, 23]",2
"[1, 2]","[1, -5]","[1, 5, 5, -13, -17, 19]",2
"[-1, 4]","[-2, 0]","[4, -7, -9, 14, 16, -18]",2
"[-3, 1]","[1, 2]","[1, 4, 5, -12, -15, 17]",2
"[1, 2]","[3, -3]","[1, 3, 5, -11, -13, 15]",2
"[1, -1]","[7, 4]","[4, 5, 7, -19, -25, 28]",2
"[3, -1]","[3, 2]","[9, -11, -16, 21, 21, -24]",2
"[1, -1]","[-7, 0]","[3, -4, -21, 25, 25, -28]",2
"[1, -1]","[1, -4]","[1, 1, 11, -16, -16, 19]",2
"[1, -1]","[1, 3]","[1, 1, 5, -9, -9, 11]",2
"[3, 1]","[3, 4]","[3, 3, 3, -10, -17, 18]",2
"[1, -2]","[-6, 2]","[2, -9, -12, 24, 25, -30]",2
"[1, -1]","[7, -2]","[4, -7, -13, 17, 28, -29]",2
"[2, 3]","[-1, -6]","[8, -9, -16, 18, 22, -23]",2
"[-3, -4]","[4, 2]","[3, -4, -20, 22, 29, -30]",2
"[-1, -2]","[-1, -3]","[3, -7, -7, 13, 15, -17]",2
"[2, -1]","[3, 2]","[2, 2, 3, -8, -12, 13]",2
"[2, -1]","[3, 4]","[2, 3, 9, -15, -29, 30]",2
"[-2, 1]","[3, -2]","[11, -14, -16, 21, 24, -26]",2
"[2, -1]","[5, 4]","[7, -10, -14, 19, 23, -25]",2
"[2, 1]","[-1, -6]","[3, -8, -10, 16, 29, -30]",2
"[-1, -5]","[-1, 0]","[2, -3, -10, 13, 13, -15]",2
"[1, 3]","[-3, -2]","[3, -5, -8, 11, 15, -16]",2
"[-1, 1]","[3, -5]","[1, -3, -15, 19, 23, -25]",2
"[-1, 1]","[-1, -5]","[1, 1, 19, -25, -25, 29]",2
"[2, 3]","[-4, -1]","[2, -4, -10, 13, 19, -20]",3
"[-4, -3]","[6, 9]","[4, -6, -19, 24, 26, -29]",3
"[1, 3]","[2, -4]","[5, -7, -14, 17, 25, -26]",3
"[1, -1]","[2, 5]","[1, 2, 10, -16, -17, 20]",3
"[2, -1]","[1, -3]","[1, -5, -10, 17, 19, -22]",3
"[1, -1]","[8, 2]","[3, -5, -13, 16, 24, -25]",3
"[1, 5]","[2, -2]","[7, -9, -11, 14, 18, -19]",3
"[1, 2]","[2, -7]","[1, 5, 10, -18, -27, 29]",3
"[1, 2]","[5, 2]","[1, 5, 8, -16, -23, 25]",3
"[-3, -2]","[4, 9]","[12, -13, -21, 23, 28, -29]",3
"[1, -1]","[-4, -5]","[1, -4, -6, 10, 15, -16]",3
"[3, -1]","[4, 3]","[1, -6, -8, 15, 20, -22]",3
"[1, -3]","[4, 1]","[2, 7, 8, -22, -23, 28]",3
"[-1, -6]","[-1, 2]","[8, -11, -11, 16, 17, -19]",3
"[-2, 1]","[-2, -4]","[1, 1, 8, -11, -16, 17]",4
"[-2, -1]","[-6, -4]","[1, -5, -7, 12, 20, -21]",4
"[1, -1]","[-5, -7]","[1, -5, -11, 17, 23, -25]",4
"[1, -3]","[-5, -3]","[1, 5, 9, -17, -25, 27]",4
"[1, -4]","[6, -2]","[1, 2, 12, -17, -22, 24]",4
"[-3, -2]","[-1, -5]","[1, 3, 15, -23, -25, 29]",4
"[1, 4]","[-2, 2]","[10, -11, -19, 22, 23, -25]",4
"[-2, -4]","[-2, 1]","[1, -4, -8, 14, 14, -17]",4
"[2, 6]","[1, -3]","[5, -6, -8, 10, 11, -12]",4
"[2, 6]","[1, -1]","[2, -5, -11, 16, 20, -22]",4
"[1, 5]","[2, -3]","[8, -9, -18, 20, 25, -26]",5
"[3, 4]","[-5, -4]","[8, -13, -15, 24, 25, -29]",5
"[-1, -2]","[4, -8]","[4, -6, -16, 19, 29, -30]",6
"[-3, -1]","[7, 6]","[1, 5, 6, -14, -19, 21]",6
"[1, 3]","[-3, 3]","[3, -5, -11, 15, 17, -19]",6
"[-4, -3]","[5, 2]","[4, -7, -14, 20, 22, -25]",6
"[1, -1]","[5, 8]","[1, 5, 9, -18, -22, 25]",6
"[2, -3]","[-9, 5]","[2, -9, -9, 19, 23, -26]",7
"[-4, -1]","[-6, -8]","[10, -12, -12, 15, 17, -18]",8
"[2, 6]","[4, -1]","[10, -14, -16, 23, 25, -28]",8
"[4, 2]","[5, 6]","[11, -12, -15, 17, 19, -20]",8
"[-2, 6]","[-4, 1]","[14, -16, -19, 22, 28, -29]",8
"[4, 6]","[-1, -6]","[1, -4, -4, 9, 9, -11]",8
"[2, -4]","[-3, 1]","[3, -6, -8, 12, 18, -19]",8
"[4, -2]","[1, -2]","[1, -7, -11, 20, 25, -28]",8
"[-2, 2]","[-6, 1]","[5, -8, -11, 15, 23, -24]",8
"[3, -3]","[4, 1]","[2, -5, -16, 21, 28, -30]",9
"[3, -3]","[-4, 1]","[3, -4, -19, 22, 24, -26]",9
"[-3, 5]","[-3, 2]","[1, 6, 9, -21, -21, 26]",10
"[-2, 2]","[-7, -5]","[5, -6, -14, 16, 20, -21]",12
"[-6, -2]","[5, 3]","[4, 6, 8, -23, -25, 30]",12
"[4, -4]","[-5, -3]","[4, -5, -18, 20, 26, -27]",16
"[-1, -7]","[-5, 3]","[5, -11, -13, 23, 25, -29]",18
"[3, -3]","[3, -4]","[5, -9, -9, 16, 16, -19]",18
"[-6, 3]","[-3, -1]","[13, -15, -19, 22, 29, -30]",27
"[4, -4]","[4, 5]","[11, -16, -16, 25, 25, -29]",32
"[-4, 4]","[-6, -5]","[19, -20, -24, 26, 29, -30]",32
"[-3, 3]","[-9, 7]","[9, -11, -19, 23, 27, -29]",36
"[3, -3]","[9, 1]","[5, -9, -13, 19, 25, -27]",36
"[4, -6]","[4, -5]","[5, -12, -12, 22, 27, -30]",36
"[8, 2]","[4, 2]","[8, -11, -14, 18, 27, -28]",48
"[-6, 3]","[-9, -8]","[17, -18, -22, 25, 25, -27]",54
